name,description,ac,hp_formula,hp_avg,speed,str,dex,con,int,wis,cha,challenge,xp,size,mob_type,alignment,melee_mod,ranged_mod,attack1,attack1_range,attack1_dmg,attack2,attack2_range,attack2_dmg,attack3,attack3_range,attack3_dmg,source,notes,languages
Aarakora,"Bird-like humanoids native to the Elemental Plane of Air, Aarakocra value freedom and privacy, often making their homes in high mountains.",12,1d8+1,6,"20 ft., fly 50 ft.",10,14,12,11,13,10,0.25,50,Medium,humanoid,neutral good,+4,,Talons,5 ft.,1d4+2 slashing,,,,,,,,,"Aarakocra, Auran"
Aboleth,"An aboleth is an aquatic, fish-like aberration with three eyes, a mucous-covered body, and four tentacles. They are ancient, intelligent, and possess powerful psionic abilities, seeking to enslave all other sentient beings.",17,18d10 + 36,135,"10 ft., swim 40 ft.",21,9,15,18,15,18,10,5900,Large,aberration,lawful evil,+9,,Tentacle,10 ft.,2d6+5 bludgeoning,Tail,10 ft.,3d6+5 bludgeoning,,,,,,"Deep Speech, telepathy 120 ft."
Abominable Yeti,"An abominable yeti is a larger, more powerful variant of the yeti, an apex predator of icy mountains. It is a terrifying sight, known for its chilling gaze and deadly claws, relentlessly hunting prey in its frozen domain.",15,14d10 + 56,133,"40 ft., climb 40 ft.",20,13,18,5,13,11,9,5000,Huge,monstrosity,chaotic evil,+9,,Claw,10 ft.,2d8+5 slashing plus 1d8 cold,,,,,,,,,Yeti
Acererak,"Acererak is a legendary archlich, a master of necromancy and traps, and a demilich obsessed with collecting powerful souls and artifacts. He is one of the most feared villains in Dungeons & Dragons, responsible for the Tomb of Horrors and the Tomb of Annihilation.",21,32d8 + 128,272,30 ft.,10,16,18,27,21,20,23,50000,Medium,undead,neutral evil,+9,,Paralyzing Touch,5 ft.,1d8+3 cold plus 3d6 psychic,,,,,,,,,"Abyssal, Celestial, Common, Draconic, Dwarvish, Elvish, Giant, Infernal, Primordial, Undercommon, telepathy 120 ft."
Acolyte,"An acolyte is a junior priest, devoted to a deity and often serving in a temple or shrine. They provide spiritual guidance, tend to the faithful, and can cast basic divine spells.",10,2d8,9,30 ft.,10,10,10,10,14,11,0.25,50,Medium,humanoid,any alignment,+2,,Club,5 ft.,1d4 bludgeoning,,,,,,,,,any one language (usually Common)
Adult Black Dragon,"Adult black dragons are vile and cruel winged predators, dwelling in swamps and dark fens. They possess acidic breath and a terrifying presence, delighting in the suffering and despair of other creatures.",19,17d12 + 85,196,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,14,11500,Huge,dragon,chaotic evil,+11,,Bite,10 ft.,2d10+6 piercing,Claw,5 ft.,2d6+6 slashing,Tail,15 ft.,2d8+6 bludgeoning,,,"Common, Draconic"
Adult Blue Dracolich,"An adult blue dracolich is an undead blue dragon, risen by necromantic magic to serve a powerful spellcaster, usually a lich. It retains its terrifying lightning breath and formidable physical might, now combined with the immortality and malevolence of undeath.",19,18d12 + 108,225,"40 ft., fly 80 ft., burrow 30 ft.",25,10,22,16,15,19,17,18000,Huge,undead,lawful evil,+12,,Bite,10 ft.,2d10+7 piercing plus 4d8 lightning,Claw,5 ft.,2d6+7 slashing,Tail,15 ft.,2d8+7 bludgeoning,,,"Common, Draconic"
Adult Blue Dragon,"Adult blue dragons are territorial and vain predators of deserts and dry lands, known for their powerful lightning breath. They hoard treasure and dominate the skies, their scales shimmering like the desert sky.",19,17d12 + 85,196,"40 ft., fly 80 ft., burrow 30 ft.",25,10,21,16,15,19,16,15000,Huge,dragon,lawful evil,+12,,Bite,10 ft.,2d10+7 piercing,Claw,5 ft.,2d6+7 slashing,Tail,15 ft.,2d8+7 bludgeoning,,,"Common, Draconic"
Adult Brass Dragon,"Adult brass dragons are garrulous and inquisitive desert dwellers, preferring to parley rather than fight, especially if it means sharing stories. They are known for their fiery breath and fascination with tales.",18,15d12 + 75,172,"40 ft., fly 80 ft., burrow 40 ft.",23,10,21,14,13,17,13,10000,Huge,dragon,chaotic good,+11,,Bite,10 ft.,2d10+6 piercing,Claw,5 ft.,2d6+6 slashing,Tail,15 ft.,2d8+6 bludgeoning,,,"Common, Draconic"
Adult Bronze Dragon,"Adult bronze dragons are noble and courageous protectors of shorelines and coastal areas, often aiding good creatures against evil. They are known for their lightning breath and ability to communicate with aquatic creatures.",19,17d12 + 102,212,"40 ft., fly 80 ft., swim 60 ft.",27,10,23,16,15,19,15,13000,Huge,dragon,lawful good,+13,,Bite,10 ft.,2d10+8 piercing,Claw,5 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
Adult Copper Dragon,"Mischievous and avaricious, adult copper dragons are fond of jokes, riddles, and pranks, making their lairs in dry canyons and mountains.",18,18d12+108,225,"40 ft., burrow 30 ft., fly 80 ft.",23,12,21,16,15,19,14,11500,Huge,dragon,chaotic good,+11,,Bite,15 ft.,2d10+6 piercing,Claw,10 ft.,2d6+6 slashing,Tail,15 ft.,2d8+6 bludgeoning,,,"Common, Draconic"
Adult Gold Dragon,"Adult gold dragons are the most powerful and majestic of the metallic dragons, staunch champions of justice and protectors of the innocent. They often take on humanoid forms to walk among mortals, offering guidance and battling evil in disguise.",19,19d12 + 133,256,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,17,18000,Huge,dragon,lawful good,+13,,Bite,10 ft.,2d10+8 piercing,Claw,5 ft.,2d6+8 slashing,Tail,15 ft.,2d8+8 bludgeoning,,,"Common, Draconic"
